score,value,model
accuracy,0.806,Logistic_Regression
missclassification,0.19399999999999995,Logistic_Regression
specificity,0.9542943244600703,Logistic_Regression
recall_sensitivity,0.22593320235756384,Logistic_Regression
precision,0.558252427184466,Logistic_Regression
f1,0.3216783216783216,Logistic_Regression
